Date,"('value', 'sum')","('value', 'mean')","('value', 'std')",Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2010-07-17,45575.520000000135,74.95973684210549,318.5300505624197,0.049510000000000005,0.049510000000000005,0.049510000000000005,0.049510000000000005,20.0,0.99,0.05
2010-07-18,29150.069999999865,48.1819338842973,143.48170001479144,0.049510000000000005,0.08585,0.059410000000000004,0.08584,75.01,5.09,0.07
2010-07-19,52553.210000000276,79.26577677224778,533.2117308572914,0.08584,0.09307,0.07723,0.0808,574.0,49.66,0.09
2010-07-20,43706.070000000385,46.844662379421635,115.19068756330688,0.0808,0.08181000000000001,0.07426,0.07474,262.0,20.59,0.08
2010-07-21,33839.29999999991,55.292973856209,140.61807656301082,0.07474,0.07921,0.06634,0.07921,575.0,42.26,0.07
2010-07-22,51619.3400000001,105.3455918367349,431.26982447276976,0.07921,0.08181000000000001,0.0505,0.0505,2160.0,129.78,0.06
2010-07-23,26243.00999999995,53.55716326530602,166.72410578745846,0.0505,0.06767000000000001,0.0505,0.06262000000000001,2402.5,141.07,0.06
2010-07-24,63254.9000000012,47.775604229608156,584.6202804556503,0.06262000000000001,0.061610000000000005,0.05049,0.05454,496.32,26.73,0.05
2010-07-25,55921.05999999769,16.838620897319387,137.49380000751728,0.05454,0.059410000000000004,0.0505,0.0505,1551.48,85.06,0.05
2010-07-26,92141.65000000007,154.34112227805707,1925.1533843946638,0.0505,0.055999999999999994,0.05,0.055999999999999994,877.0,46.91,0.05
2010-07-27,42048.23000000011,69.7317247097846,295.66991639463043,0.055999999999999994,0.0605,0.053,0.06,3373.69,196.92,0.06
2010-07-28,72373.4500000092,20.438703756003726,841.9221240983346,0.06,0.062,0.054000000000000006,0.0589,4390.29,255.76,0.06
2010-07-29,30509.329999999958,66.46912854030492,185.1853401988573,0.0589,0.0699,0.0571,0.0699,8058.49,528.32,0.07
2010-07-30,29423.509999999944,74.48989873417707,241.76586975977511,0.0699,0.0698,0.0582,0.0627,3020.85,198.53,0.07
2010-07-31,26790.209999999974,74.62454038997207,204.2304723958343,0.0627,0.06888999999999999,0.055999999999999994,0.06785,4022.25,243.9,0.06
2010-08-01,281325.57999999996,646.7254712643677,5328.951925714862,0.06785,0.065,0.06,0.0611,2601.0,162.65,0.06
2010-08-02,75596.63000000009,151.19326000000018,2234.7729088693595,0.0611,0.0633,0.06,0.06,3599.0,221.2,0.06
